"filename", "language", "XML", "HTML", "Java", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\AlgoServer.java", "Java", 0, 0, 25, 0, 0, 1, 8, 34
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Handler\BoyerMooreHandler.java", "Java", 0, 0, 51, 0, 0, 5, 11, 67
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Handler\HeapSortHandler.java", "Java", 0, 0, 58, 0, 0, 5, 12, 75
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Handler\StaticFileHandlear.java", "Java", 0, 0, 42, 0, 0, 1, 9, 52
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Handler\dto\BoyerMooreRequest.java", "Java", 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Handler\dto\SortRequest.java", "Java", 0, 0, 6, 0, 0, 2, 3, 11
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\Handler\dto\SortResponse.java", "Java", 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\algorithms\BoyerMoore.class", "Java", 0, 0, 37, 0, 0, 0, 0, 37
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\algorithms\BoyerMoore.java", "Java", 0, 0, 74, 0, 0, 0, 17, 91
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\algorithms\HeapSort.java", "Java", 0, 0, 78, 0, 0, 25, 18, 121
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\service\BoyerMooreService.java", "Java", 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\service\HeapSortService.java", "Java", 0, 0, 26, 0, 0, 9, 8, 43
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\backend\utils\JsonUtils.java", "Java", 0, 0, 29, 0, 0, 9, 5, 43
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\Home.html", "HTML", 0, 22, 0, 0, 0, 2, 1, 25
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\WebSite.html", "HTML", 0, 81, 0, 0, 0, 5, 7, 93
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\html\lab0.html", "HTML", 0, 143, 0, 0, 0, 2, 19, 164
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\html\lab1.html", "HTML", 0, 163, 0, 0, 0, 4, 23, 190
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\html\lab2.html", "HTML", 0, 226, 0, 0, 0, 2, 28, 256
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\html\lab3.html", "HTML", 0, 100, 0, 0, 0, 3, 11, 114
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\html\lab4.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\html\lab5.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\index.html", "HTML", 0, 104, 0, 0, 0, 8, 6, 118
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\home\animatedAlgoritm.js", "JavaScript", 0, 0, 0, 0, 223, 19, 31, 273
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\lab0\codeReviu.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 13
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\lab1\server1.js", "JavaScript", 0, 0, 0, 0, 78, 8, 8, 94
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\lab2\server2.js", "JavaScript", 0, 0, 0, 0, 67, 9, 9, 85
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\scripts\lab3\server3.js", "JavaScript", 0, 0, 0, 0, 81, 4, 15, 100
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\IndexStyle\header.css", "CSS", 0, 0, 0, 98, 0, 7, 18, 123
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\IndexStyle\main.css", "CSS", 0, 0, 0, 105, 0, 7, 15, 127
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\home.css", "CSS", 0, 0, 0, 110, 0, 4, 15, 129
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\lab0\lab0.css", "CSS", 0, 0, 0, 131, 0, 0, 21, 152
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\lab1.css", "CSS", 0, 0, 0, 34, 0, 0, 3, 37
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\root.css", "CSS", 0, 0, 0, 65, 0, 3, 9, 77
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\styles\webSite.css", "CSS", 0, 0, 0, 158, 0, 6, 25, 189
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\check-svgrepo-com.svg", "XML", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\free-icon-font-calculator-simple-10489562.svg", "XML", 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\free-icon-font-graduation-cap-3914115.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\heart-svgrepo-com.svg", "XML", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\home-svgrepo-com.svg", "XML", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\frontend\svg\struct-16-svgrepo-com.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\out\backend\AlgoServer.class", "Java", 0, 0, 25, 0, 0, 0, 0, 25
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\out\backend\Handler\BoyerMooreHandler.class", "Java", 0, 0, 48, 0, 0, 0, 0, 48
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\out\backend\Handler\HeapSortHandler.class", "Java", 0, 0, 55, 0, 0, 0, 0, 55
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\out\backend\Handler\StaticFileHandlear.class", "Java", 0, 0, 35, 0, 0, 0, 0, 35
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\out\backend\Handler\dto\SortRequest.class", "Java", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\out\backend\Handler\dto\SortResponse.class", "Java", 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\out\backend\algorithms\BoyerMoore.class", "Java", 0, 0, 37, 0, 0, 0, 0, 37
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\out\backend\algorithms\HeapSort$SortResult.class", "Java", 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\out\backend\algorithms\HeapSort.class", "Java", 0, 0, 35, 0, 0, 0, 0, 35
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\out\backend\service\BoyerMooreService.class", "Java", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\out\backend\service\HeapSortService.class", "Java", 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\mitic\OneDrive\Desktop\Works\AlgoritmAndStructure\ProjectWork\out\backend\utils\JsonUtils.class", "Java", 0, 0, 25, 0, 0, 0, 0, 25
"Total", "-", 13, 839, 746, 701, 462, 150, 364, 3275